Echo,SNR_noisy,SNR_denoised,Improvement
1,4.22986193175614,7.881061115695502,1.8631958307025565
2,3.8706185288775194,7.614216643451164,1.9671834324782425
3,3.546148539520735,6.994002089705874,1.9722811979700996
4,3.252994008685927,6.281566707006906,1.9310108442358909
5,2.9874358111470505,5.499001644945001,1.8407095558092057
6,2.748261383592717,4.5738136458076495,1.6642571456680166
